merge_tool;repo_name;merge_commit;runtime
JFSTMerge;error-prone;1a87c33bd18648f484133794840e94bd8d1d4a64;291
JFSTMerge;error-prone;f10f48c87d828881dda9912f050bccf8bb36776c;792
JFSTMerge;error-prone;d51253011690def06db835d5ad605ca134c94d84;766
JFSTMerge;error-prone;66a86d1652c383ea3921d03f49f444f1d1000765;577
IntelliMerge;antlr4;ccad5bd9bcb8bd3df866d0d89ea4040b23beca77;2240
IntelliMerge;antlr4;3b3fe3da579275b3a1bee91d0914a8b76b356615;1989
IntelliMerge;antlr4;6d022379bcf9e8033f2ef9f67f7718f9f0662fc5;63
IntelliMerge;antlr4;0782fc64274f997716b855948aef501d89230239;136019
IntelliMerge;antlr4;ad7271d3196af7d308cac39ed97a10436080d116;25581
IntelliMerge;antlr4;a86458f96e84e30683a363001aa56cfa19b5b110;386
IntelliMerge;antlr4;8f7e48acf2bf753594c1c15972ecae0d8f18d6e8;24967
IntelliMerge;antlr4;cc31e756ea0b196ddf6b6e6a416087eda97b0f04;318
IntelliMerge;antlr4;fbe0f0e2f385b769e6f39518b7280ddd4ff80de1;642
IntelliMerge;antlr4;2356357b8b176f19f7cbf4b06fea184c8bb9525b;1334
IntelliMerge;antlr4;c677cab8d018c433e5b170e060c79301f5c02bd5;13967
IntelliMerge;antlr4;aae2183f03d0104fc4e119c31b62adee6f602a81;14606
IntelliMerge;antlr4;f1e98fb43883c8d912e01e04b754234726a228e2;12891
IntelliMerge;antlr4;45f30dfaaed3e9b70c2318bfd58be207798621d7;12527
IntelliMerge;antlr4;c002f060c352ed10f31a9f402f908d6e773ee9b4;15913
IntelliMerge;antlr4;8622299e7bc789e56b5b9b0970b96ea2ba5693c0;16018
IntelliMerge;antlr4;f0b490ae7e4b78d32d1fe8a45ba2282371efc167;36138
IntelliMerge;antlr4;e663f72227867916844671bd91cc36b79f33cbbd;200
IntelliMerge;antlr4;966ac8955cbe0f3fe9f727bd4ac44c924ef57cf5;48631
IntelliMerge;antlr4;e99b5a4c47193ce25948f4abf7ee84682b3219a5;55309
IntelliMerge;antlr4;07866de9fb84f33cb3c84ff4c401b379387571cb;69027
IntelliMerge;antlr4;0f7d498ebb83af6bd5bb25f2feb61de45723e7de;17636
IntelliMerge;antlr4;1ffc88dac62165c2963df337c7896f6914384f16;51576
IntelliMerge;antlr4;b7f9cccd99cd03aceee283b61c8190a02013acfd;13472
IntelliMerge;antlr4;3b47240b199832690efb648b6f5c41abcd186143;1353
IntelliMerge;antlr4;acf69f62b47c9c5eccd2234cd19045f6ff979db6;193
IntelliMerge;antlr4;1d73c70b7cc5fcb61aaee999e675ea27f93a143a;19757
IntelliMerge;antlr4;689052d697fdb37b6ddf7fd47527f9f25240d7e7;17181
IntelliMerge;antlr4;d547777f79bba7db1254a27b8e5f71595ef0067f;43976
IntelliMerge;antlr4;c2a3d0694a49728d6eea04fd8c056d522687e1ad;162
IntelliMerge;antlr4;59ef3c51a33839f9193432a66fd7d6a5ce98f60c;11568
IntelliMerge;antlr4;007b702d59061c425dc9ed2a410eba4764c67f4a;1543
